Site	Left	Right	Strand	Transcription-Units	Common-Name
OmpR-P DNA-binding-site 18.5 bases downstream of flhDp	1978368	1978388	-	flhDC	
OmpR-P DNA-binding-site 186.5 bases upstream of micFp2	2312888	2312908		micF // micF // ompC	
OmpR-P DNA-binding-site 206.5 bases upstream of micFp2	2312868	2312888		micF // micF // ompC	
OmpR-P DNA-binding-site 31.5 bases upstream of pgaAp	1092545	1092565	-	pgaABCD	
OmpR-P DNA-binding-site 370.5 bases upstream of ompFp2	987453	987473	-	ompF // ompF	
OmpR-P DNA-binding-site 45.5 bases upstream of nmpCp	576906	576926	-	nmpC	
OmpR-P DNA-binding-site 45.5 bases upstream of tppBp	1712616	1712636	+	tppB	
OmpR-P DNA-binding-site 47.5 bases upstream of bolAp	454377	454397	+	bolA // bolA	
OmpR-P DNA-binding-site 49.5 bases upstream of csgDp3	1103384	1103404	-	csgDEFG // csgDEFG	
OmpR-P DNA-binding-site 50.5 bases upstream of ompFp2	987133	987153	-	ompF // ompF	
OmpR-P DNA-binding-site 60.5 bases upstream of fadLp	2461135	2461155	+	fadL	
OmpR-P DNA-binding-site 69.5 bases downstream of fadLp	2461264	2461284	+	fadL	
OmpR-P DNA-binding-site 70.5 bases upstream of ompFp2	987153	987173	-	ompF // ompF	
OmpR-P DNA-binding-site 70.5 bases upstream of omrAp	2976250	2976270	-	omrA	
OmpR-P DNA-binding-site 71.5 bases upstream of omrBp	2976447	2976467	-	omrB	
OmpR-P DNA-binding-site 90.5 bases upstream of ompFp2	987173	987193	-	ompF // ompF	
OmpR-P DNA-binding-site regulating narUZYWV	1544224	1544244	-	narUZYWV	
OmpR-P DNA-binding-site regulating yobB-exoX	1925353	1925373	+	yobB-exoX	
OxyR DNA-binding-site (BS0-10543)					
OxyR DNA-binding-site 105 bases upstream of fhuFp1	4605791	4605808	-	fhuF	
OxyR DNA-binding-site 130 bases upstream of gntPp	4551456	4551473		gntP // uxuAB	
OxyR DNA-binding-site 152 bases upstream of gntPp	4551478	4551495		gntP // uxuAB	
OxyR DNA-binding-site 17 bases upstream of dpsp2	848959	848976	-	dps // dps	
OxyR DNA-binding-site 18 bases upstream of oxyRp2	4158431	4158448		oxyR // oxyS // oxyR	
OxyR DNA-binding-site 2 bases downstream of fhuFp1	4605685	4605702	-	fhuF	
OxyR DNA-binding-site 2 bases downstream of flup	2071310	2071327	+	isrC-flu	
OxyR DNA-binding-site 2 bases downstream of katGp	4133805	4133822	+	katG	
OxyR DNA-binding-site 21.5 bases downstream of zinTp	2041358	2041375	+	zinT	
OxyR DNA-binding-site 210 bases upstream of sufAp	1764620	1764637	-	sufABCDSE	
OxyR DNA-binding-site 232 bases upstream of sufAp	1764642	1764659	-	sufABCDSE	
OxyR DNA-binding-site 24 bases downstream of flup	2071332	2071349	+	isrC-flu	
OxyR DNA-binding-site 26 bases upstream of flup	2071283	2071300	+	isrC-flu	
OxyR DNA-binding-site 31 bases upstream of elaBp	2381061	2381107	-	elaB	
OxyR DNA-binding-site 31.5 bases downstream of ychFp	1257843	1257860	-	ychF	
OxyR DNA-binding-site 33 bases upstream of hemHp	497990	498007	+	hemH	
OxyR DNA-binding-site 35 bases upstream of trxCp	2718632	2718649	+	trxC	
OxyR DNA-binding-site 40 bases upstream of uofp	710861	710878	-	uof-fur	
OxyR DNA-binding-site 42 bases upstream of metEp	4012834	4012851	+	metE	
OxyR DNA-binding-site 44 bases upstream of dpsp2	848986	849003	-	dps // dps	
OxyR DNA-binding-site 44 bases upstream of katGp	4133760	4133777	+	katG	
OxyR DNA-binding-site 5 bases downstream of oxyRp2	4158453	4158470		oxyR // oxyS // oxyR	
OxyR DNA-binding-site 5 bases upstream of metRp1	4012852	4012869	-	metR	
OxyR DNA-binding-site 50 bases upstream of ybjCp	890834	890851		ybjC-nfsA-rimK-ybjN // grxA	
OxyR DNA-binding-site 53 bases upstream of ahpCp2	638632	638649	+	ahpCF	
OxyR DNA-binding-site 54 bases upstream of mntHp	2512780	2512797	-	mntH	
OxyR DNA-binding-site 55 bases upstream of dsbGp	638847	638864		dsbGp // dsbG // ahpCF	
OxyR DNA-binding-site 55 bases upstream of hemHp	497968	497985	+	hemH	
OxyR DNA-binding-site 55.5 bases downstream of znuAp	1942598	1942615		znuA // znuCB	
OxyR DNA-binding-site 57 bases upstream of trxCp	2718610	2718627	+	trxC	
OxyR DNA-binding-site 62 bases upstream of uofp	710883	710900	-	uof-fur	
OxyR DNA-binding-site 62 bases upstream of yjjZp	4605707	4605724		yjjZ // fhuF	
OxyR DNA-binding-site 64 bases upstream of ccpp	3669317	3669334	-	ccp	
OxyR DNA-binding-site 66 bases upstream of dpsp2	849008	849025	-	dps // dps	
OxyR DNA-binding-site 66 bases upstream of katGp	4133738	4133755	+	katG	
OxyR DNA-binding-site 72 bases upstream of ybjCp	890812	890829		ybjC-nfsA-rimK-ybjN // grxA	
OxyR DNA-binding-site 76 bases upstream of ahpCp2	638609	638626	+	ahpCF	
OxyR DNA-binding-site 76 bases upstream of mntHp	2512802	2512819	-	mntH	
OxyR DNA-binding-site 77 bases upstream of dsbGp	638869	638886		dsbGp // dsbG // ahpCF	
OxyR DNA-binding-site 8 bases downstream of grxAp	890761	890778	-	grxA	
OxyR DNA-binding-site 83 bases upstream of fhuFp1	4605769	4605786	-	fhuF	
OxyR DNA-binding-site 86 bases upstream of ccpp	3669339	3669356	-	ccp	
OxyR DNA-binding-site 9.5 bases downstream of ychFp	1257865	1257882	-	ychF	
OxyR DNA-binding-site regulating hcpp1			-	hcp-hcr-poxB // hcp-hcr	
PaaX DNA-binding-site 10.5 bases downstream of paaXp	1463500	1463538	+	paaXY	
PaaX DNA-binding-site 30 bases downstream of paaAp	1453875	1453914	+	paaABCDEFGHIJK	
PaaX DNA-binding-site 6.5 bases upstream of paaZp	1453657	1453697	-	paaZ	
Pasp56 RcsB DNA-binding-site 18.5 bases upstream of gadAp2	3667619	3667633	-	gadAX // gadAX	
Pasp56 RcsB DNA-binding-site 41.5 bases upstream of bdmp	1556375	1556389	-	bdm-sra	
Pasp56 RcsB DNA-binding-site 41.5 bases upstream of osmBp1	1343511	1343525	-	osmB	
Pasp56 RcsB DNA-binding-site 41.5 bases upstream of osmCp1	1556548	1556562	+	osmC	
Pasp56 RcsB DNA-binding-site 42.5 bases upstream of rprAp	1770323	1770337	+	rprA	
Pasp56 RcsB DNA-binding-site 43.5 bases upstream of ftsAp1	103511	103525	+	ftsAZ	
Pasp56 RcsB DNA-binding-site 43.5 bases upstream of lolAp	937278	937292	+	lolA-rarA	
Pasp56 RcsB DNA-binding-site 52.5 bases upstream of rseDp1	2710385	2710399	-	rseD-rpoE-rseABC // rseD-rpoE-rseABC	
Pasp56 RcsB DNA-binding-site 64.5 bases upstream of gadBp2	1572130	1572144	-	gadBC // gadBC	
Pasp56 RcsB DNA-binding-site regulating ydePp			-	ydeP	
PdeL DNA-binding-site (BS0-10542)	3967722	3967743			
PdeL DNA-binding-site 189 bases upstream of pdeLp2	331672	331696	+	pdeL	
PdeL DNA-binding-site regulating fliFp1			+	fliFGHIJK	
PdeL DNA-binding-site regulating yghJ			-	yghJ	
PdhR DNA-binding-site (BS0-10472)	1787066	1787083			
PdhR DNA-binding-site (BS0-10574)	1755955	1755972			
PdhR DNA-binding-site (BS0-10577)	3777184	3777201			
PdhR DNA-binding-site (BS0-10578)	1151394	1151411			
PdhR DNA-binding-site (BS0-10579)	243451	243468			
PdhR DNA-binding-site (BS0-10580)	579656	579673			
PdhR DNA-binding-site (BS0-10596)					
PdhR DNA-binding-site (BS0-10597)					
PdhR DNA-binding-site (BS0-10598)					
PdhR DNA-binding-site 165 bases upstream of hemLp	175078	175095	-	hemL	
PdhR DNA-binding-site 17 bases downstream of grcAp1	2716499	2716516	-	grcA	
PdhR DNA-binding-site 177 bases upstream of cyoAp	451822	451839	-	cyoABCDE	
PdhR DNA-binding-site 178 bases upstream of tomBp	480964	480981	-	tomB-hha	
PdhR DNA-binding-site 19 bases downstream of pdhRp2	122044	122061	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
PdhR DNA-binding-site 21 bases upstream of fecAp	4516740	4516757	-	fecABCDE	
PdhR DNA-binding-site 35 bases upstream of ndhp	1165949	1165966	+	ndh	
PdhR DNA-binding-site 42 bases upstream of mraZp	89546	89563	+	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	
PdhR DNA-binding-site 56 bases upstream of glcDp	3128124	3128141	-	glcDEFGBA	
PepA DNA-binding-site 173 bases upstream of carAp1	29365	29392	+	carAB	
PepA DNA-binding-site 43 bases upstream of pepAp1	4486169	4486196	-	pepA	
PepA DNA-binding-site 79 bases upstream of carAp1	29459	29486	+	carAB	
PgrR DNA-binding-site 113.5 bases downstream of ycjYp6	1391953	1391967	-	ycjY-ymjDC-mpaA // ycjY	
PgrR DNA-binding-site regulating mpaA			-	mpaA	
PgrR DNA-binding-site regulating mppA			+	mppA	
PgrR DNA-binding-site regulating tyrRp			+	tyrR	
PgrR DNA-binding-site regulating ycjGp			+	ycjG	
PgrR DNA-binding-site regulating ycjXp			+	ycjXF-tyrR	
PhoB-Pasp53 DNA-binding-site (BS0-10990)	1065532	1065550			
PhoB-Pasp53 DNA-binding-site (BS0-10991)	1447288	1447306			
PhoB-Pasp53 DNA-binding-site (BS0-10992)	1874232	1874250			
PhoB-Pasp53 DNA-binding-site (BS0-10993)	2055001	2055019			
PhoB-Pasp53 DNA-binding-site (BS0-10994)	3776571	3776589			
PhoB-Pasp53 DNA-binding-site (BS0-10995)	4325209	4325227			
PhoB-Pasp53 DNA-binding-site 113 bases upstream of phoEp	260261	260281	-	phoE	
PhoB-Pasp53 DNA-binding-site 113 bases upstream of yibDp1	3790249	3790276	-	yibD	
PhoB-Pasp53 DNA-binding-site 146.5 bases upstream of mipAp	1866643	1866663	-	mipA	
PhoB-Pasp53 DNA-binding-site 17 bases upstream of feaRp2	1447317	1447336	-	feaR	
PhoB-Pasp53 DNA-binding-site 20 bases upstream of ydfHp	1628297	1628316	+	ydfH	
PhoB-Pasp53 DNA-binding-site 24 bases upstream of prpRp	348486	348505	-	prpR	
PhoB-Pasp53 DNA-binding-site 26 bases upstream of ugpBp2	3592443	3592461	-	ugpBAECQ	
PhoB-Pasp53 DNA-binding-site 27 bases upstream of argPp	3059694	3059713	+	argP	
PhoB-Pasp53 DNA-binding-site 30 bases upstream of asrp2	1671288	1671307	+	asr // asr	
PhoB-Pasp53 DNA-binding-site 30 bases upstream of ugpBp1	3592399	3592418	-	ugpBAECQ	
PhoB-Pasp53 DNA-binding-site 31 bases upstream of phoAp	401667	401686	+	phoA-psiF	
PhoB-Pasp53 DNA-binding-site 31 bases upstream of phoHp1	1084825	1084844	+	phoH	
PhoB-Pasp53 DNA-binding-site 31 bases upstream of psiEp	4240260	4240279	+	psiE	
PhoB-Pasp53 DNA-binding-site 32 bases upstream of phoEp	260181	260200	-	phoE	
PhoB-Pasp53 DNA-binding-site 32 bases upstream of pstSp2	3911591	3911610	-	pstSCAB-phoU // pstS // pstSCA // pstSCA // pstS // pstSCAB-phoU	
PhoB-Pasp53 DNA-binding-site 33 bases upstream of amnp1	2054989	2055008	+	amn	
PhoB-Pasp53 DNA-binding-site 36 bases upstream of ytfKp1	4439466	4439485	+	ytfK	
PhoB-Pasp53 DNA-binding-site 52 bases upstream of ugpBp1	3592421	3592440	-	ugpBAECQ // ugpBAECQ	
PhoB-Pasp53 DNA-binding-site 53 bases upstream of edap3	1932827	1932848	-	eda	
PhoB-Pasp53 DNA-binding-site 53 bases upstream of psiEp	4240238	4240257	+	psiE	
PhoB-Pasp53 DNA-binding-site 54 bases upstream of pstSp2	3911613	3911632	-	pstSCAB-phoU // pstS // pstSCA // pstSCA // pstS // pstSCAB-phoU	
PhoB-Pasp53 DNA-binding-site 57 bases upstream of cusRp	595510	595529		cusRS // cusCFBA	
PhoB-Pasp53 DNA-binding-site 58 bases upstream of ytfKp1	4439444	4439463	+	ytfK	
PhoB-Pasp53 DNA-binding-site 59.5 bases upstream of yibDp1	3790199	3790219	-	yibD	
PhoB-Pasp53 DNA-binding-site 88 bases upstream of phoEp	260237	260256	-	phoE	
PhoB-Pasp53 DNA-binding-site 93 bases upstream of sbcDp	417061	417080		sbcDC // phoBR	
PhoB-Pasp53 DNA-binding-site regulating hiuHp			+	hiuH-msrPQ	
PhoB-Pasp53 DNA-binding-site regulating phnCp			-	phnCDEEFGHIJKLMNOP	
PhoB-Pasp53 DNA-binding-site regulating yegHp			+	yegH	
PhoB-Pasp53 DNA-binding-site regulating yhjCp			+	yhjC	
PhoP-Pasp51 DNA-binding-site (BS0-10784)					
PhoP-Pasp51 DNA-binding-site (BS0-10785)					
PhoP-Pasp51 DNA-binding-site 106 bases upstream of rutAp	1074125	1074140	-	rutABCDEFG	
PhoP-Pasp51 DNA-binding-site 11 bases downstream of argDp	3490203	3490220	-	argD	
PhoP-Pasp51 DNA-binding-site 137 bases upstream of hdeDp2	3656815	3656832		hdeD // hdeAB-yhiD // hdeD // hdeAB-yhiD	
PhoP-Pasp51 DNA-binding-site 161 bases upstream of malSp	3737301	3737318	+	malS	
PhoP-Pasp51 DNA-binding-site 19 bases downstream of treRp4	4467321	4467338		treR // treR // mgtA	
PhoP-Pasp51 DNA-binding-site 191.5 bases upstream of fadLp	2461005	2461023	+	fadL	
PhoP-Pasp51 DNA-binding-site 199.5 bases upstream of iraMp1	1212282	1212298	-	iraM	
PhoP-Pasp51 DNA-binding-site 20 bases upstream of metBp	4128608	4128625	+	metBL	
PhoP-Pasp51 DNA-binding-site 28 bases upstream of gadWp2	3664801	3664818	-	gadW	
PhoP-Pasp51 DNA-binding-site 28 bases upstream of yrbLp	3348385	3348402	+	yrbL	
PhoP-Pasp51 DNA-binding-site 31 bases upstream of hemLp	174944	174961	-	hemL	
PhoP-Pasp51 DNA-binding-site 31 bases upstream of nagAp	703198	703215	-	nagA	
PhoP-Pasp51 DNA-binding-site 32 bases downstream of acrAp	485659	485676	-	acrAB	
PhoP-Pasp51 DNA-binding-site 32 bases upstream of pagPp	656486	656503	+	pagP	
PhoP-Pasp51 DNA-binding-site 32 bases upstream of ybjGp	883532	883549	-	ybjG	
PhoP-Pasp51 DNA-binding-site 33 bases downstream of safAp	1583988	1584005	-	safA-ydeO	
PhoP-Pasp51 DNA-binding-site 33 bases upstream of borDp	578946	578963	-	borD	
PhoP-Pasp51 DNA-binding-site 33 bases upstream of mgrBp	1908817	1908834	-	mgrB	
PhoP-Pasp51 DNA-binding-site 33.0 bases upstream of phoPp1	1190508	1190525	-	phoPQ // phoPQ	
PhoP-Pasp51 DNA-binding-site 34 bases upstream of glgBp	3573683	3573700	-	glgBXCAP	
PhoP-Pasp51 DNA-binding-site 34.5 bases downstream of ydePp	1586622	1586640	-	ydeP	
PhoP-Pasp51 DNA-binding-site 35 bases upstream of iraMp2	1212150	1212167	-	iraM // iraM	
PhoP-Pasp51 DNA-binding-site 35 bases upstream of mgtSp	1622545	1622562	+	mgtS	
PhoP-Pasp51 DNA-binding-site 4 bases upstream of slyBp2	1719736	1719753	+	slyB // slyB	
PhoP-Pasp51 DNA-binding-site 43 bases upstream of cysBp	1333734	1333757	+	cysB	
PhoP-Pasp51 DNA-binding-site 44 bases upstream of mgrRp	1622950	1622967	-	mgrR	
PhoP-Pasp51 DNA-binding-site 44 bases upstream of rstAp	1682086	1682103	+	rstAB	
PhoP-Pasp51 DNA-binding-site 46 bases upstream of tolCp2	3177958	3177975	+	tolC-ygiBC	
PhoP-Pasp51 DNA-binding-site 479 bases upstream of purHp	4208098	4208115	-	purHD	
PhoP-Pasp51 DNA-binding-site 53 bases downstream of safAp	1583968	1583985	-	safA-ydeO	
PhoP-Pasp51 DNA-binding-site 56.5 bases downstream of dcuDp1	3374812	3374832	+	dcuD	
PhoP-Pasp51 DNA-binding-site 59.5 bases upstream of ompTp	585716	585734	-	ompT	
PhoP-Pasp51 DNA-binding-site 7 bases upstream of clpSp	922736	922753	+	clpS	
PhoP-Pasp51 DNA-binding-site 85 bases upstream of gadEp1	3658149	3658166	+	gadEF	
PhoP-Pasp51 DNA-binding-site regulating queE			-	queE	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 138 bases upstream of yobFp1	1907926	1907937	-	yobF-cspC	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 145 bases upstream of mdhp1	3384453	3384464	-	mdh	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 174 bases upstream of yobFp1	1907962	1907973	-	yobF-cspC	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 188 bases upstream of pdhRp2	121841	121852	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 203 bases upstream of pdhRp2	121826	121837	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 207 bases upstream of yobFp1	1907995	1908006	-	yobF-cspC	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 25 bases upstream of csgDp3	1103364	1103375	-	csgDEFG // csgDEFG	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 37 bases downstream of csgDp3	1103303	1103314	-	csgDEFG // csgDEFG	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 49 bases upstream of mdhp1	3384357	3384368	-	mdh	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 62 bases downstream of csgBp2	1103915	1103926	+	csgBAC // csgBAC	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 62 bases upstream of yjiYp	4591415	4591444	-	btsT	
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 73 bases upstream of mdhp1	3384381	3384392	-	mdh	
PlaR DNA-binding-site (BS0-10499)	1933095	1933116			
PlaR DNA-binding-site (BS0-10500)	2352538	2352559			
PlaR DNA-binding-site (BS0-10501)	3241768	3241789			
PlaR DNA-binding-site 55 bases upstream of plaRp	3742663	3742684		plaR // yiaKLMNO-lyx-sgbHUE	
PrpR-2-methylcitrate DNA-binding-site 113.5 bases upstream of prpBp	348521	348545		prpBCDE // prpR	
PrpR-2-methylcitrate DNA-binding-site 147.5 bases upstream of prpBp	348487	348511		prpBCDE // prpR	
PspF DNA-binding-site 27 bases downstream of pspFp1	1367919	1367919		pspF // pspABCDE	
PspF DNA-binding-site 7 bases downstream of pspFp1	1367939	1367939		pspF // pspABCDE	
PspF DNA-binding-site 87 bases upstream of pspGp	4262721	4262738	+	pspG	
PtrR DNA-binding-site (BS0-10802)					
PtrR-gln DNA-binding-site (BS0-10798)					
PtrR-gln DNA-binding-site (BS0-10799)					
PtrR-gln DNA-binding-site (BS0-10800)					
PtrR-gln DNA-binding-site (BS0-10804)					
PtrR-gln DNA-binding-site regulating acrAp			-	acrAB	
PtrR-gln DNA-binding-site regulating puuCp			+	puuCBE	
PtrR-gln DNA-binding-site regulating sad-glsB-yneG	1614785	1614800	-	sad-glsB-yneG	
PunR DNA-binding-site (BS0-10505)	1739803	1739826			
PurR-hypoxanthine DNA-binding-site 103.5 bases downstream of purRp	1737784	1737800	+	purR	
PurR-hypoxanthine DNA-binding-site 11.5 bases downstream of speAp	3086030	3086046	-	speAB	
PurR-hypoxanthine DNA-binding-site 128.5 bases upstream of carAp1	29415	29431	+	carAB	
PurR-hypoxanthine DNA-binding-site 191.5 bases downstream of purRp	1737872	1737888	+	purR	
PurR-hypoxanthine DNA-binding-site 2.5 bases downstream of purCp	2597772	2597788	-	purC	
PurR-hypoxanthine DNA-binding-site 20.5 bases upstream of purHp	4207640	4207656	-	purHD	
PurR-hypoxanthine DNA-binding-site 21.5 bases upstream of purTp	1930828	1930844	+	purT	
PurR-hypoxanthine DNA-binding-site 23.5 bases upstream of pyrCp	1122659	1122675	-	pyrC	
PurR-hypoxanthine DNA-binding-site 24.5 bases upstream of guaBp	2634124	2634140	-	guaBA	
PurR-hypoxanthine DNA-binding-site 27.5 bases upstream of purMp	2621118	2621134	+	purMN	
PurR-hypoxanthine DNA-binding-site 28.5 bases upstream of cvpAp1	2430821	2430837	-	cvpA-purF-ubiX	
PurR-hypoxanthine DNA-binding-site 36.5 bases upstream of codBp	354840	354856	+	codBA	
PurR-hypoxanthine DNA-binding-site 37.5 bases upstream of purEp	553172	553188	-	purEK	
PurR-hypoxanthine DNA-binding-site 38.5 bases upstream of purLp	2695620	2695636	-	purL	
PurR-hypoxanthine DNA-binding-site 42.5 bases upstream of glnBp1	2687476	2687492	-	glnB // glnB	
PurR-hypoxanthine DNA-binding-site 48.5 bases upstream of prsp	1262218	1262234	-	prs	
PurR-hypoxanthine DNA-binding-site 58.5 bases upstream of pyrDp	1004666	1004682	+	pyrD	
PurR-hypoxanthine DNA-binding-site 59.5 bases upstream of glyAp	2685626	2685642	-	glyA	
PurR-hypoxanthine DNA-binding-site 7.5 bases downstream of gcvTp	3050758	3050774	-	gcvTHP	
PurR-hypoxanthine DNA-binding-site 892.5 bases downstream of hflDp	1191787	1191803	-	hflD-purB	
PurR-hypoxanthine DNA-binding-site 9.5 bases downstream of purAp	4404665	4404681	+	purA	
PurR-hypoxanthine DNA-binding-site 90.5 bases upstream of purAp	4404566	4404582	+	purA	
PutA DNA-binding-site 14.5 bases downstream of putAp	1078909	1078915	-	putA	
PutA DNA-binding-site 21.5 bases upstream of putAp	1078944	1078950	-	putA	
PutA DNA-binding-site 31.5 bases upstream of putAp	1078954	1078960	-	putA	
PutA DNA-binding-site 54.5 bases upstream of putPp1	1079111	1079117	+	putP	
PutA DNA-binding-site 81.5 bases upstream of putPp1	1079084	1079090	+	putP	
PuuR DNA-binding-site 11.5 bases downstream of puuAp	1360948	1360968		puuAP // puuDRCBE	
PuuR DNA-binding-site 126.5 bases upstream of puuAp	1361085	1361105		puuAP // puuDRCBE	
PuuR DNA-binding-site 161.5 bases upstream of puuAp	1361120	1361140		puuAP // puuDRCBE	
PuuR DNA-binding-site 84.5 bases upstream of puuAp	1361043	1361063		puuAP // puuDRCBE	
PyrR-BTS DNA-binding-site 52.5 bases upstream of yhjXp	3712091	3712101	-	yhjX	
PyrR-BTS DNA-binding-site 73.5 bases upstream of yhjXp	3712112	3712122	-	yhjX	
QseB-Pasp51 DNA-binding-site (BS0-10467)	3884216	3884230			
QseB-Pasp51 DNA-binding-site (BS0-10468)	3884269	3884284			
QseB-Pasp51 DNA-binding-site (BS0-10469)	3884302	3884316			
QseB-Pasp51 DNA-binding-site 3 bases upstream of feaRp2	1447306	1447319	-	feaR	
QseB-Pasp51 DNA-binding-site 462 bases upstream of qseBp2	3169281	3169294	+	qseBC	
QseB-Pasp51 DNA-binding-site 49 bases upstream of feaRp1	1447392	1447405	-	feaR	
QseB-Pasp51 DNA-binding-site 6 bases downstream of qseBp2	3169748	3169761	+	qseBC	
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8726)	1420321	1420336	+	ydaSTUVW-rzpR	
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8728)	1420295	1420310	+	ydaSTUVW-rzpR	
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8730)	1420270	1420281	+	ydaSTUVW-rzpR	
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8732)	1420218	1420224	+	ydaSTUVW-rzpR	
RbsR DNA-binding-site 20.5 bases upstream of purHp	4207638	4207658	-	purHD	
RbsR DNA-binding-site 8.5 bases downstream of rbsDp	3933320	3933340	+	rbsDACBZKR	
RbsR-D-ribose DNA-binding-site 47.5 bases upstream of addp6	1702145	1702165	+	add	
RbsR-D-ribose DNA-binding-site regulating udk-dcd	2143220	2143240	-	udk-dcd	
RcdA DNA-binding-site 211.5 bases upstream of bluFp	1215713	1215723	-	bluF	
RcdA DNA-binding-site 222.5 bases upstream of bluFp	1215724	1215734	-	bluF	
RcdA DNA-binding-site 298.5 bases upstream of csgDp3	1103638	1103648	-	csgDEFG // csgDEFG	
RcdA DNA-binding-site 3.5 bases downstream of yagKp6	293111	293121	-	yagK	
RcdA DNA-binding-site 33.5 bases downstream of sulAp	1020910	1020920	-	sulA	
RcdA DNA-binding-site 47.5 bases downstream of sulAp	1020896	1020906	-	sulA	
RcdA DNA-binding-site 58.5 bases upstream of asrp2	1671264	1671274	+	asr // asr	
RcdA DNA-binding-site 68.5 bases upstream of asrp2	1671254	1671264	+	asr // asr	
RcdA DNA-binding-site regulating rmfp			+	rmf	
RcdA DNA-binding-site regulating rsdp2			-	rsd	
RcdA DNA-binding-site regulating ybjJI (BS0-8301)	887393	887403		ybjJI // ybjK	
RcdA DNA-binding-site regulating ybjJI (BS0-8303)	887383	887393		ybjJI // ybjK	
RcdA DNA-binding-site regulating ydeIp5			-	ydeI	
